name,baseMean,baseMeanControl,baseMeanMetal,foldChange,logFC,logCPM,PValue,FDR,control_gill,control_intestine,control_kidney,control_liver,metal_gill,metal_intestine,metal_kidney,metal_liver
ENSSTUE00000465780,8.125,4.75,11.5,2.44325592038641,1.28880498752446,4.08600435908353,0.0566518934148537,1,8,6,1,4,10,20,11,5
ENSSTUE00000468286,21.625,12.5,30.75,2.43962119879698,1.28665715719712,5.30982158915972,0.115419333391847,1,6,6,28,10,19,19,73,12
ENSSTUE00000380615,25.125,14.5,35.75,2.43733850172186,1.28530662892015,5.49310225511945,0.191124339099071,1,22,19,7,10,25,105,10,3
ENSSTUE00000259512,23,13.25,32.75,2.43433430796714,1.28352730746301,5.38422069134017,0.178600735241963,1,16,25,8,4,19,93,14,5
ENSSTUE00000251358,37.75,22.25,53.25,2.42350780690986,1.27709672990353,6.02000088779149,0.162261750833687,1,19,20,5,45,28,45,11,129
ENSSTUE00000150605,14.25,7.75,20.75,2.42243312392146,1.27645683772761,4.76992381243993,0.0232473231859281,1,11,12,6,2,28,26,15,14
ENSSTUE00000148685,8.5,5,12,2.41476659901764,1.27188375108484,4.10642980831429,0.139663616564567,1,10,1,1,8,8,6,11,23
ENSSTUE00000226414,29.125,17,41.25,2.41322091674782,1.2709599921835,5.7047390847023,0.352351324753353,1,44,18,6,0,135,10,18,2
ENSSTUE00000559658,7.5,4.25,10.75,2.40658130096911,1.26698516235273,4.00043632347023,0.0685900936524001,1,8,4,1,4,8,19,9,7
ENSSTUE00000040245,14,8,20,2.4013015180052,1.26381656609208,4.71596142003919,0.122036284953983,1,8,10,8,6,17,20,1,42
ENSSTUE00000500160,167,98.25,235.75,2.40001761793591,1.26304499634024,8.13053343474194,0.343407341571932,1,19,33,197,144,14,12,768,149
ENSSTUE00000411575,20.625,12.25,29,2.39951548987363,1.26274312628259,5.20504366209486,0.186458532351324,1,3,26,4,16,5,43,16,52
ENSSTUE00000366766,57.625,34,81.25,2.39599271576664,1.26062352209025,6.61379059684671,0.387768052794828,1,0,51,7,78,3,101,33,188
ENSSTUE00000515457,54.125,31.75,76.5,2.39250004476908,1.25851895170739,6.54289358711051,0.590037592487419,1,12,115,0,0,10,295,1,0
ENSSTUE00000477997,17.5,10.25,24.75,2.38463401808895,1.2537678654746,5.03983215720772,0.101350633726506,1,14,12,11,4,33,16,47,3
ENSSTUE00000279022,11.375,6.5,16.25,2.37875581133504,1.25020718102857,4.48817045839601,0.112104361855461,1,10,2,14,0,22,10,21,12
ENSSTUE00000467591,27.75,16.25,39.25,2.37782588564924,1.24964307878967,5.633777958059,0.538390181680881,1,54,11,0,0,124,32,1,0
ENSSTUE00000543527,23.625,13.75,33.5,2.37750600080568,1.24944898244091,5.42554493220929,0.139598833541885,1,35,5,7,8,69,9,30,26
ENSSTUE00000431925,15,8.75,21.25,2.37360931053919,1.24708249094766,4.79558656509651,0.0542032010884191,1,3,10,12,10,7,24,21,33
ENSSTUE00000089520,11.375,6.25,16.5,2.37064188078557,1.24527773964956,4.46814016677867,0.0128446859385463,1,8,7,8,2,19,15,9,23
ENSSTUE00000501639,22.375,13.5,31.25,2.36266462006348,1.24041485347135,5.3094490194785,0.232518823167922,1,10,6,3,35,17,17,6,85
ENSSTUE00000072777,27,16,38,2.35045557476532,1.23294041285607,5.59663329506488,0.534517081822686,1,0,55,9,0,1,94,57,0
ENSSTUE00000261337,44.375,26.75,62,2.34288924357902,1.22828875466367,6.24983023256257,0.186314764275317,1,12,9,16,70,21,37,39,151
ENSSTUE00000266893,34.5,20.75,48.25,2.34229876260113,1.2279251048029,5.88653113376285,0.300827850712626,1,9,23,4,47,7,27,6,153
ENSSTUE00000593644,18.75,11,26.5,2.34183502619787,1.22763944677449,5.14557895294518,0.230135917148414,1,19,8,17,0,22,19,62,3
ENSSTUE00000197757,7.5,4.25,10.75,2.34152346576517,1.22744749619346,4.02720278464523,0.129886515911356,1,8,7,2,0,19,12,9,3
ENSSTUE00000552999,19.25,11.75,26.75,2.33773253672429,1.22510987853745,5.11622248532298,0.0865806589707148,1,10,17,4,16,14,38,10,45
ENSSTUE00000149481,36.125,21.5,50.75,2.3370921086448,1.22471459422619,5.97810066271575,0.0661639238231584,1,22,26,22,16,47,83,12,61
ENSSTUE00000042309,18.75,11.25,26.25,2.33534384453256,1.2236349808905,5.07180538878598,0.148410187493481,1,5,21,5,14,14,22,6,63
ENSSTUE00000087873,13.375,7.5,19.25,2.33014901416867,1.22042221888295,4.66421967952372,0.0674291323956501,1,13,5,12,0,25,22,14,16
ENSSTUE00000091037,8.75,5,12.5,2.32570201499139,1.21766626059704,4.18192601030976,0.0631941668210661,1,11,3,4,2,13,16,16,5
ENSSTUE00000563825,12.5,7.25,17.75,2.32530446088717,1.21741962609373,4.60615259081757,0.00795312064334117,1,7,12,6,4,19,18,18,16
ENSSTUE00000453704,20.125,12.25,28,2.32508566038336,1.2172838687083,5.16685178086574,0.199161111940955,1,7,16,3,23,13,20,6,73
ENSSTUE00000104592,88.75,53.5,124,2.32446935359877,1.21690140512014,7.23106013343565,0.140560543935674,1,56,71,50,37,75,331,33,57
ENSSTUE00000497376,11.75,6.5,17,2.3224261624106,1.21563272930225,4.52000734611621,0.0194964778907963,1,10,7,7,2,14,17,11,26
ENSSTUE00000477497,59.875,35.75,84,2.32201127667757,1.21537497856321,6.67378148014336,0.0415821499424404,1,41,22,39,41,58,66,64,148
ENSSTUE00000268248,184.5,111.25,257.75,2.31885749112612,1.21341415971521,8.26306233447882,0.290562634513033,1,31,155,27,232,72,154,32,773
ENSSTUE00000228106,34.125,20.5,47.75,2.31865922816319,1.21329080361284,5.88677033918066,0.117344872998819,1,13,42,9,18,19,67,20,85
ENSSTUE00000234757,106,63.75,148.25,2.31843266644196,1.21314982755311,7.47796545433448,0.198104734132921,1,20,111,52,72,14,212,87,280
ENSSTUE00000458892,7.875,4.75,11,2.31514452417765,1.2111022573327,4.03324721425886,0.015435615960135,1,8,2,5,4,10,13,12,9
ENSSTUE00000399537,30.375,18.25,42.5,2.31359696877332,1.21013756721384,5.7500773218695,0.421096448022463,1,10,60,3,0,14,147,6,3
ENSSTUE00000020945,40,24.25,55.75,2.3065284578169,1.20572309240272,6.12222338743437,0.0296680915208846,1,14,35,19,29,47,76,43,57
ENSSTUE00000475003,15.625,9.5,21.75,2.30613472620348,1.20547679883007,4.86528094915822,0.394119029115371,1,0,21,7,10,0,59,11,17
ENSSTUE00000008273,30.375,18.25,42.5,2.30361229401179,1.20389792660078,5.75372747098051,0.541831982093448,1,0,62,11,0,2,118,50,0
ENSSTUE00000307606,19.625,12,27.25,2.29965775473235,1.20141916886964,5.12369138676951,0.503690120180371,1,1,20,0,27,4,15,0,90
ENSSTUE00000431421,16.25,9.75,22.75,2.29924013004719,1.2011571473684,4.94238633632396,0.176981282981112,1,8,8,21,2,12,24,52,3
ENSSTUE00000173527,10,5.75,14.25,2.29575937311947,1.19897143582906,4.30891117261746,0.0408983355865459,1,5,11,3,4,10,11,13,23
ENSSTUE00000467369,18.125,11,25.25,2.29362219346294,1.19762776951145,5.06497141078491,0.402328443106083,1,5,16,23,0,3,31,67,0
ENSSTUE00000211056,13.625,8.25,19,2.28678279153902,1.1933193388797,4.68831296129075,0.0103794677718311,1,11,6,6,10,18,13,24,21
ENSSTUE00000021170,13.25,8.25,18.25,2.27963635652076,1.18880370663314,4.65660283549803,0.163048026639286,1,5,19,5,4,13,46,9,5
